po_number,line_number,item_description,category_code,quantity,unit_price,line_amount
DEAC3010CC40017,3,Utility infrastructure support,CAT-ENERGY-UTILITIES,78,12142224.47,947093508.81
DEAC3010CC40017,4,Fuel and utility services,CAT-ENERGY-UTILITIES,44,11918997.81,524435903.75
DEAC3010CC40017,5,Fuel and utility services,CAT-ENERGY-UTILITIES,218,4256677.77,927955754.77
N0002411C2301,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,80,11779676.75,942374139.81
N0002411C2301,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,312,2294527.07,715892446.61
N0002411C2301,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,107,3343608.48,357766106.85
N0002411C2301,4,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,403,3021577.89,1217695890.62
N0002411C2301,5,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,494,2488189.05,1229165392.75
W9124G17C0104,1,Defense platform components,CAT-AEROSPACE-DEFENSE,417,1497858.72,624607085.43
W9124G17C0104,2,Defense platform components,CAT-AEROSPACE-DEFENSE,339,3928863.66,1331884780.27
W9124G17C0104,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,121,11875149.47,1436893085.85
W9124G17C0104,4,Mission systems equipment,CAT-AEROSPACE-DEFENSE,425,2474787.53,1051784700.88
HQ014719C0004,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,448,2092056.72,937241409.67
HQ014719C0004,2,Defense platform components,CAT-AEROSPACE-DEFENSE,310,4293567.32,1331005869.12
HQ014719C0004,3,Military program support,CAT-AEROSPACE-DEFENSE,72,30202655.26,2174591178.51
NNM07AA75C,1,Military program support,CAT-AEROSPACE-DEFENSE,373,4418506.62,1648102970.1
NNM07AA75C,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,131,12159022.64,1592831966.36
NNM07AA75C,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,441,2698072.38,1189849920.54
FA862511C6597,1,Defense platform components,CAT-AEROSPACE-DEFENSE,492,1706661.05,839677234.76
FA862511C6597,2,Military program support,CAT-AEROSPACE-DEFENSE,2,391633513.36,783267026.71
FA862511C6597,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,390,2050361.65,799641043.41
FA862511C6597,4,Aircraft systems support,CAT-AEROSPACE-DEFENSE,499,3984057.76,1988044821.46
N0001919C0010,1,Military program support,CAT-AEROSPACE-DEFENSE,285,3719464.77,1060047458.98
N0001919C0010,2,Defense platform components,CAT-AEROSPACE-DEFENSE,92,7573439.95,696756475.09
N0001919C0010,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,309,4376582.61,1352364026.66
N0001919C0010,4,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,373,3272122.77,1220501792.24
N0002420C2120,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,401,4583735.45,1838077913.78
N0002420C2120,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,104,10968794.8,1140754659.24
N0002420C2120,3,Defense platform components,CAT-AEROSPACE-DEFENSE,191,6995654.89,1336170084.48
W31P4Q14C0034,1,Defense platform components,CAT-AEROSPACE-DEFENSE,243,5654308.99,1373997084.73
W31P4Q14C0034,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,415,4632516.12,1922494191.33
W31P4Q14C0034,3,Military program support,CAT-AEROSPACE-DEFENSE,204,4633364.19,945206294.19
HT940213C0009,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,418,2486468.17,1039343693.89
HT940213C0009,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,47,26891507.33,1263900844.62
HT940213C0009,3,Military program support,CAT-AEROSPACE-DEFENSE,449,1801513.57,808879590.73
HT940213C0009,4,Military program support,CAT-AEROSPACE-DEFENSE,414,2579034.61,1067720328.8
N0001925C0070,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,217,5033250.75,1092215413.63
N0001925C0070,2,Defense platform components,CAT-AEROSPACE-DEFENSE,453,2379946.46,1078115747.84
N0001925C0070,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,311,2221604.53,690919009.98
N0001925C0070,4,Defense platform components,CAT-AEROSPACE-DEFENSE,431,769356.99,331592863.83
N0001925C0070,5,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,132,7208569.25,951531140.72
FA880718C0009,1,Defense platform components,CAT-AEROSPACE-DEFENSE,37,25627697.69,948224814.5
FA880718C0009,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,137,6171888.44,845548715.91
FA880718C0009,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,144,2500370.2,360053308.59
FA880718C0009,4,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,191,5881321.49,1123332404.77
FA880718C0009,5,Military program support,CAT-AEROSPACE-DEFENSE,435,1878838.3,817294659.58
FA862516C6599,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,442,3821229.72,1688983538.16
FA862516C6599,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,364,3405282.31,1239522761.79
FA862516C6599,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,53,20556733.49,1089506874.86
N0003019C0025,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,434,2995354.17,1299983711.32
N0003019C0025,2,Defense platform components,CAT-AEROSPACE-DEFENSE,156,9413143.99,1468450462.85
N0003019C0025,3,Military program support,CAT-AEROSPACE-DEFENSE,82,15125648.51,1240303177.45
FA863423F0048,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,29,35199650.68,1020789869.58
FA863423F0048,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,21,57901964.92,1215941263.32
FA863423F0048,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,403,1608167.35,648091443.96
FA863423F0048,4,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,76,13792006.2,1048192471.44
DESC0004645,1,Power systems maintenance,CAT-ENERGY-UTILITIES,134,10728370.23,1437601611.12
DESC0004645,2,Utility infrastructure support,CAT-ENERGY-UTILITIES,351,3547494.1,1245170429.13
DESC0004645,3,Energy services,CAT-ENERGY-UTILITIES,255,4776536.84,1218016893.82
N0001908C0028,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,84,10463020.83,878893749.75
N0001908C0028,2,Aircraft systems support,CAT-AEROSPACE-DEFENSE,307,3694340.05,1134162394.69
N0001908C0028,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,30,17640634.27,529219027.95
N0001908C0028,4,Aircraft systems support,CAT-AEROSPACE-DEFENSE,315,4085362.47,1286889178.28
FA862518F7027,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,2,590778961.39,1181557922.79
FA862518F7027,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,337,1712748.83,577196354.88
FA862518F7027,3,Defense platform components,CAT-AEROSPACE-DEFENSE,73,8518000.99,621814072.08
FA862518F7027,4,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,349,2382455.33,831476911.12
FA862518F7027,5,Mission systems equipment,CAT-AEROSPACE-DEFENSE,393,1520761.07,597659100.49
M6785416C0006,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,401,2747473.31,1101736795.93
M6785416C0006,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,453,2108420.93,955114681.96
M6785416C0006,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,85,4674601.64,397341139.82
M6785416C0006,4,Aircraft systems support,CAT-AEROSPACE-DEFENSE,35,18182178.42,636376244.78
M6785416C0006,5,Aircraft systems support,CAT-AEROSPACE-DEFENSE,313,2089058.49,653875308.51
N0002421C2106,1,Military program support,CAT-AEROSPACE-DEFENSE,319,2505402.62,799223437.16
N0002421C2106,2,Aircraft systems support,CAT-AEROSPACE-DEFENSE,4,182177487.73,728709950.93
N0002421C2106,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,1,535659870.09,535659870.09
N0002421C2106,4,Aircraft systems support,CAT-AEROSPACE-DEFENSE,172,9622928.57,1655143713.49
F3365791C0006,1,Defense platform components,CAT-AEROSPACE-DEFENSE,473,1552785.99,734467775.38
F3365791C0006,2,Military program support,CAT-AEROSPACE-DEFENSE,464,1884740.78,874519723.04
F3365791C0006,3,Defense platform components,CAT-AEROSPACE-DEFENSE,291,5048233.61,1469035981.23
F3365791C0006,4,Mission systems equipment,CAT-AEROSPACE-DEFENSE,197,3124181.45,615463745.35
FA820518F0001,1,Aircraft systems support,CAT-AEROSPACE-DEFENSE,439,1945717.63,854170038.75
FA820518F0001,2,Military program support,CAT-AEROSPACE-DEFENSE,471,1476970.27,695652995.1
FA820518F0001,3,Military program support,CAT-AEROSPACE-DEFENSE,489,964520.51,471650527.64
FA820518F0001,4,Defense platform components,CAT-AEROSPACE-DEFENSE,105,6407910.49,672830601.91
FA820518F0001,5,Defense platform components,CAT-AEROSPACE-DEFENSE,383,2540331.57,972946992.24
FA861108C2896,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,315,2931762.77,923505272.0
FA861108C2896,2,Military program support,CAT-AEROSPACE-DEFENSE,193,8954689.74,1728255120.1
FA861108C2896,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,250,3987701.56,996925390.91
W58RGZ23C0001,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,84,11417771.62,959092816.21
W58RGZ23C0001,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,415,1895593.37,786671248.24
W58RGZ23C0001,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,439,840585.62,369017085.42
W58RGZ23C0001,4,Military program support,CAT-AEROSPACE-DEFENSE,412,1522530.88,627282721.44
W58RGZ23C0001,5,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,94,9461745.9,889404114.62
N0001924C0009,1,Defense platform components,CAT-AEROSPACE-DEFENSE,101,3836605.48,387497153.89
N0001924C0009,2,Aircraft systems support,CAT-AEROSPACE-DEFENSE,293,3746695.26,1097781712.28
N0001924C0009,3,Defense platform components,CAT-AEROSPACE-DEFENSE,283,3349473.21,947900919.7
N0001924C0009,4,Military program support,CAT-AEROSPACE-DEFENSE,103,11377039.51,1171835069.51
HT940213C0012,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,209,6074058.24,1269478172.5
HT940213C0012,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,185,5485012.9,1014727385.69
HT940213C0012,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,92,14181661.43,1304712851.92
FA881606C0002,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,130,5883093.47,764802150.95
FA881606C0002,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,322,5584531.76,1798219225.56
FA881606C0002,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,308,3313194.62,1020463942.68
DEAC0609RL14728,1,Utility infrastructure support,CAT-ENERGY-UTILITIES,481,3060677.73,1472185985.97
DEAC0609RL14728,2,Power systems maintenance,CAT-ENERGY-UTILITIES,120,9136440.13,1096372815.67
DEAC0609RL14728,3,Environmental and energy operations,CAT-ENERGY-UTILITIES,381,2595397.36,988846395.57
89233224CNA000004,1,Energy services,CAT-ENERGY-UTILITIES,67,11561292.09,774606569.89
89233224CNA000004,2,Power systems maintenance,CAT-ENERGY-UTILITIES,28,53123504.28,1487458119.97
89233224CNA000004,3,Energy services,CAT-ENERGY-UTILITIES,474,1276263.16,604948739.76
89233224CNA000004,4,Power systems maintenance,CAT-ENERGY-UTILITIES,235,2853707.13,670621176.35
DAAH2302C0006,1,Aircraft systems support,CAT-AEROSPACE-DEFENSE,253,4556898.64,1152895356.22
DAAH2302C0006,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,297,5413893.27,1607926302.22
DAAH2302C0006,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,242,3132517.68,758069277.53
75ACF121C00020,1,Healthcare support services,CAT-HEALTHCARE-MEDICAL,372,3613368.91,1344173233.07
75ACF121C00020,2,Healthcare support services,CAT-HEALTHCARE-MEDICAL,7,117257335.4,820801347.83
75ACF121C00020,3,Pharmaceutical supply services,CAT-HEALTHCARE-MEDICAL,52,25988437.13,1351398730.73
W58RGZ21C0015,1,Defense platform components,CAT-AEROSPACE-DEFENSE,33,40321371.77,1330605268.41
W58RGZ21C0015,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,53,11475504.96,608201762.75
W58RGZ21C0015,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,321,3383466.74,1086092824.75
W58RGZ21C0015,4,Mission systems equipment,CAT-AEROSPACE-DEFENSE,416,1077987.0,448442590.64
FA881018C0006,1,Defense platform components,CAT-AEROSPACE-DEFENSE,57,13747163.21,783588303.11
FA881018C0006,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,31,35825333.75,1110585346.32
FA881018C0006,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,368,4211431.66,1549806851.7
N0001922C0004,1,Defense platform components,CAT-AEROSPACE-DEFENSE,316,2805692.25,886598751.5
N0001922C0004,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,476,3002634.53,1429254038.11
N0001922C0004,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,214,2898847.27,620353316.46
N0001922C0004,4,Defense platform components,CAT-AEROSPACE-DEFENSE,111,4386245.05,486873200.89
FA283424CB002,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,317,3112031.76,986514068.87
FA283424CB002,2,Defense platform components,CAT-AEROSPACE-DEFENSE,344,1761780.99,606052660.18
FA283424CB002,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,304,2963362.34,900862149.98
FA283424CB002,4,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,72,12554594.24,903930785.02
N0002419C2114,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,289,2218125.66,641038315.92
N0002419C2114,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,116,5341467.33,619610210.25
N0002419C2114,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,66,10785830.22,711864794.22
N0002419C2114,4,Mission systems equipment,CAT-AEROSPACE-DEFENSE,345,1647253.35,568302405.06
N0002419C2114,5,Mission systems equipment,CAT-AEROSPACE-DEFENSE,211,3959569.25,835469111.55
N0002418C2301,1,Military program support,CAT-AEROSPACE-DEFENSE,242,2068569.59,500593841.16
N0002418C2301,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,357,1700118.12,606942169.62
N0002418C2301,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,470,1850244.94,869615121.27
N0002418C2301,4,Aircraft systems support,CAT-AEROSPACE-DEFENSE,90,5297374.45,476763700.42
N0002418C2301,5,Defense platform components,CAT-AEROSPACE-DEFENSE,40,22606236.18,904249447.36
N0002413C2307,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,209,5155095.54,1077414967.02
N0002413C2307,2,Defense platform components,CAT-AEROSPACE-DEFENSE,228,1661074.19,378724914.4
N0002413C2307,3,Military program support,CAT-AEROSPACE-DEFENSE,436,1763093.36,768708706.31
N0002413C2307,4,Defense platform components,CAT-AEROSPACE-DEFENSE,38,17861367.07,678731948.53
N0002413C2307,5,Mission systems equipment,CAT-AEROSPACE-DEFENSE,147,3008451.32,442242344.74
N0002416C2427,1,Aircraft systems support,CAT-AEROSPACE-DEFENSE,82,8511269.75,697924119.49
N0002416C2427,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,277,2586372.16,716425088.62
N0002416C2427,3,Defense platform components,CAT-AEROSPACE-DEFENSE,196,2234962.08,438052568.36
N0002416C2427,4,Mission systems equipment,CAT-AEROSPACE-DEFENSE,246,3366248.07,828097024.74
N0002416C2427,5,Mission systems equipment,CAT-AEROSPACE-DEFENSE,10,63878909.62,638789096.19
N0002406C2303,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,30,44694161.9,1340824857.05
N0002406C2303,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,266,5278143.5,1403986170.22
N0002406C2303,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,153,3692849.81,565006021.36
HQ085124C0001,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,212,2728374.45,578415383.89
HQ085124C0001,2,Aircraft systems support,CAT-AEROSPACE-DEFENSE,121,11028270.75,1334420761.16
HQ085124C0001,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,137,10117592.77,1386110209.95
NNM16AA02C,1,Military program support,CAT-AEROSPACE-DEFENSE,288,3904879.48,1124605291.59
NNM16AA02C,2,Aircraft systems support,CAT-AEROSPACE-DEFENSE,436,1066615.35,465044294.44
NNM16AA02C,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,247,5388662.02,1330999517.75
NNM16AA02C,4,Military program support,CAT-AEROSPACE-DEFENSE,393,895248.02,351832470.71
N0002422C5500,1,Military program support,CAT-AEROSPACE-DEFENSE,347,1184474.93,411012800.55
N0002422C5500,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,211,6269374.67,1322838055.97
N0002422C5500,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,237,6463732.33,1531904561.6
W31P4Q18C0130,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,463,2230045.11,1032510887.87
W31P4Q18C0130,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,418,1410819.89,589722712.61
W31P4Q18C0130,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,400,1514353.03,605741210.49
W31P4Q18C0130,4,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,75,7426295.12,556972134.17
W31P4Q18C0130,5,Aircraft systems support,CAT-AEROSPACE-DEFENSE,135,2766113.17,373425277.92
N0002420C2437,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,132,5456277.17,720228585.84
N0002420C2437,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,418,2521117.9,1053827280.25
N0002420C2437,3,Defense platform components,CAT-AEROSPACE-DEFENSE,68,8159787.65,554865560.47
N0002420C2437,4,Defense platform components,CAT-AEROSPACE-DEFENSE,300,2755907.89,826772367.44
N0001914C0032,1,Aircraft systems support,CAT-AEROSPACE-DEFENSE,285,2350297.32,669834737.2
N0001914C0032,2,Military program support,CAT-AEROSPACE-DEFENSE,115,3255406.22,374371715.63
N0001914C0032,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,370,2184219.49,808161211.41
N0001914C0032,4,Mission systems equipment,CAT-AEROSPACE-DEFENSE,367,1096421.44,402386669.52
N0001914C0032,5,Aircraft systems support,CAT-AEROSPACE-DEFENSE,483,1862722.01,899694729.14
FA820523F0501,1,Defense platform components,CAT-AEROSPACE-DEFENSE,314,3725627.66,1169847084.99
FA820523F0501,2,Defense platform components,CAT-AEROSPACE-DEFENSE,50,19586709.12,979335456.15
FA820523F0501,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,239,4187574.75,1000830364.18
N0002413C2128,1,Aircraft systems support,CAT-AEROSPACE-DEFENSE,111,10857385.98,1205169843.49
N0002413C2128,2,Defense platform components,CAT-AEROSPACE-DEFENSE,155,5361673.64,831059414.69
N0002413C2128,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,69,16083628.35,1109770355.82
FA880810C0001,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,296,4675149.98,1383844392.72
FA880810C0001,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,391,1964074.61,767953173.32
FA880810C0001,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,254,3842474.29,975988470.35
DEAC0506OR23177,1,Environmental and energy operations,CAT-ENERGY-UTILITIES,12,66108527.53,793302330.42
DEAC0506OR23177,2,Utility infrastructure support,CAT-ENERGY-UTILITIES,471,1160343.28,546521683.14
DEAC0506OR23177,3,Environmental and energy operations,CAT-ENERGY-UTILITIES,212,4102863.32,869807023.15
DEAC0506OR23177,4,Power systems maintenance,CAT-ENERGY-UTILITIES,289,812594.63,234839848.42
DEAC0506OR23177,5,Environmental and energy operations,CAT-ENERGY-UTILITIES,53,12800543.51,678428806.18
HQ027610C0001,1,Defense platform components,CAT-AEROSPACE-DEFENSE,479,871131.77,417272119.98
HQ027610C0001,2,Military program support,CAT-AEROSPACE-DEFENSE,132,2743020.69,362078731.3
HQ027610C0001,3,Military program support,CAT-AEROSPACE-DEFENSE,2,427256582.15,854513164.3
HQ027610C0001,4,Military program support,CAT-AEROSPACE-DEFENSE,196,2073574.47,406420596.77
HQ027610C0001,5,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,75,14074570.98,1055592823.68
NSFDACS1219442,1,General contract services,CAT-DEFINITIVE-CONTRACT-GENERAL,180,4442560.09,799660817.05
NSFDACS1219442,2,General contract services,CAT-DEFINITIVE-CONTRACT-GENERAL,48,12572364.77,603473508.93
NSFDACS1219442,3,General contract services,CAT-DEFINITIVE-CONTRACT-GENERAL,10,44237735.72,442377357.22
NSFDACS1219442,4,General contract services,CAT-DEFINITIVE-CONTRACT-GENERAL,51,11281057.17,575333915.66
NSFDACS1219442,5,General contract services,CAT-DEFINITIVE-CONTRACT-GENERAL,108,6184031.77,667875431.07
DESC0014664,1,Environmental and energy operations,CAT-ENERGY-UTILITIES,73,17730907.07,1294356216.13
DESC0014664,2,Power systems maintenance,CAT-ENERGY-UTILITIES,474,1321033.93,626170084.16
DESC0014664,3,Utility infrastructure support,CAT-ENERGY-UTILITIES,351,1809161.29,635015614.38
DESC0014664,4,Environmental and energy operations,CAT-ENERGY-UTILITIES,79,6676941.42,527478372.48
N6274223F4007,1,Defense platform components,CAT-AEROSPACE-DEFENSE,497,2157885.48,1072469082.34
N6274223F4007,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,374,1879842.97,703061269.15
N6274223F4007,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,192,1616437.74,310356046.62
N6274223F4007,4,Mission systems equipment,CAT-AEROSPACE-DEFENSE,438,2251314.47,986075737.04
W31P4Q18C0049,1,Defense platform components,CAT-AEROSPACE-DEFENSE,12,49482082.84,593784994.08
W31P4Q18C0049,2,Aircraft systems support,CAT-AEROSPACE-DEFENSE,481,1354260.12,651399120.09
W31P4Q18C0049,3,Defense platform components,CAT-AEROSPACE-DEFENSE,110,2674196.78,294161645.62
W31P4Q18C0049,4,Mission systems equipment,CAT-AEROSPACE-DEFENSE,435,2436328.62,1059802948.9
W31P4Q18C0049,5,Aircraft systems support,CAT-AEROSPACE-DEFENSE,108,4255943.99,459641950.94
80MSFC20C0034,1,Aircraft systems support,CAT-AEROSPACE-DEFENSE,400,2713476.09,1085390434.61
80MSFC20C0034,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,2,357812212.61,715624425.21
80MSFC20C0034,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,62,20049262.82,1243054294.91
N0002417C2105,1,Military program support,CAT-AEROSPACE-DEFENSE,43,20467329.69,880095176.87
N0002417C2105,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,125,7367048.26,920881033.07
N0002417C2105,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,339,3651129.48,1237732894.59
NNK17MA01T,1,Defense platform components,CAT-AEROSPACE-DEFENSE,237,2504474.05,593560349.55
NNK17MA01T,2,Military program support,CAT-AEROSPACE-DEFENSE,236,4073940.7,961450004.1
NNK17MA01T,3,Military program support,CAT-AEROSPACE-DEFENSE,363,2503007.35,908591666.72
NNK17MA01T,4,Military program support,CAT-AEROSPACE-DEFENSE,489,1157971.58,566248103.32
N0001914C0050,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,228,4863339.0,1108841292.48
N0001914C0050,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,455,1938961.13,882227315.56
N0001914C0050,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,384,2653587.61,1018977640.84
N0002419C2115,1,Aircraft systems support,CAT-AEROSPACE-DEFENSE,128,3128132.17,400400918.1
N0002419C2115,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,85,12639987.69,1074398953.63
N0002419C2115,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,347,1454718.97,504787482.11
N0002419C2115,4,Mission systems equipment,CAT-AEROSPACE-DEFENSE,355,2887286.23,1024986610.16
N0002498C2107,1,Military program support,CAT-AEROSPACE-DEFENSE,244,4983926.22,1216077997.37
N0002498C2107,2,Military program support,CAT-AEROSPACE-DEFENSE,94,4879871.44,458707915.8
N0002498C2107,3,Military program support,CAT-AEROSPACE-DEFENSE,276,1393141.07,384506933.97
N0002498C2107,4,Mission systems equipment,CAT-AEROSPACE-DEFENSE,208,4540389.77,944401072.86
N0002416C2431,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,255,5655284.99,1442097673.43
N0002416C2431,2,Defense platform components,CAT-AEROSPACE-DEFENSE,415,1800620.81,747257636.34
N0002416C2431,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,332,2433588.42,807951356.17
N0002424C2115,1,Military program support,CAT-AEROSPACE-DEFENSE,494,1803391.09,890875196.73
N0002424C2115,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,55,11419759.51,628086772.78
N0002424C2115,3,Defense platform components,CAT-AEROSPACE-DEFENSE,484,865934.17,419112140.02
N0002424C2115,4,Military program support,CAT-AEROSPACE-DEFENSE,76,5027366.51,382079855.14
N0002424C2115,5,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,366,1790841.07,655447832.33
80NM0018F0615,1,Defense platform components,CAT-AEROSPACE-DEFENSE,442,1991219.7,880119108.86
80NM0018F0615,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,167,7931576.69,1324573307.76
80NM0018F0615,3,Defense platform components,CAT-AEROSPACE-DEFENSE,356,2143093.08,762941135.36
N0002420C2300,1,Aircraft systems support,CAT-AEROSPACE-DEFENSE,285,2348063.36,669198058.87
N0002420C2300,2,Defense platform components,CAT-AEROSPACE-DEFENSE,322,1475565.49,475132088.4
N0002420C2300,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,263,2253758.8,592738565.66
N0002420C2300,4,Defense platform components,CAT-AEROSPACE-DEFENSE,332,3675819.6,1220372108.07
AIDOAATO1500009,1,Transportation support,CAT-LOGISTICS-TRANSPORTATION,471,1277041.04,601486329.74
AIDOAATO1500009,2,Warehouse and distribution services,CAT-LOGISTICS-TRANSPORTATION,204,2762018.49,563451772.57
AIDOAATO1500009,3,Fleet operations support,CAT-LOGISTICS-TRANSPORTATION,21,25882144.85,543525041.84
AIDOAATO1500009,4,Freight and logistics services,CAT-LOGISTICS-TRANSPORTATION,395,1767175.71,698034407.22
AIDOAATO1500009,5,Warehouse and distribution services,CAT-LOGISTICS-TRANSPORTATION,331,1569125.51,519380542.42
FA861512C6016,1,Military program support,CAT-AEROSPACE-DEFENSE,109,8249613.89,899207914.36
FA861512C6016,2,Military program support,CAT-AEROSPACE-DEFENSE,343,2240788.25,768590370.89
FA861512C6016,3,Military program support,CAT-AEROSPACE-DEFENSE,278,4364954.56,1213457367.83
N0003024C0100,1,Defense platform components,CAT-AEROSPACE-DEFENSE,169,4013658.13,678308223.88
N0003024C0100,2,Military program support,CAT-AEROSPACE-DEFENSE,233,2757294.68,642449661.08
N0003024C0100,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,71,6806963.28,483294392.7
N0003024C0100,4,Aircraft systems support,CAT-AEROSPACE-DEFENSE,227,1623734.49,368587729.15
N0003024C0100,5,Military program support,CAT-AEROSPACE-DEFENSE,186,3784860.11,703983981.19
W56HZV17C0001,1,Military program support,CAT-AEROSPACE-DEFENSE,482,1705457.07,822030307.6
W56HZV17C0001,2,Military program support,CAT-AEROSPACE-DEFENSE,278,3763048.12,1046127377.7
